seed,condition,output,side,n,baseline_hz,stim_hz,delta_hz
68,CHASE_R,DNa02,L,1,1.5,0.5,-1.0
68,CHASE_R,DNa02,R,1,0.0,4.5,4.5
68,CHASE_R,DNg100,L,1,0.5,0.0,-0.5
68,CHASE_R,DNg100,R,1,0.0,0.0,0.0
68,CHASE_R,MDN,L,2,0.0,0.0,0.0
68,CHASE_R,MDN,R,2,0.0,0.25,0.25
68,CHASE_R,DNp01,L,1,0.0,0.0,0.0
68,CHASE_R,DNp01,R,1,0.0,0.0,0.0
68,CHASE_BOTH,DNp09,L,1,0.0,7.5,7.5
68,CHASE_BOTH,DNp09,R,1,0.0,8.5,8.5
68,CHASE_BOTH,DNa01,L,1,1.0,1.0,0.0
68,CHASE_BOTH,DNa01,R,1,0.0,1.0,1.0
68,CHASE_BOTH,DNa02,L,1,1.5,4.5,3.0
68,CHASE_BOTH,DNa02,R,1,0.0,3.0,3.0
68,CHASE_BOTH,DNg100,L,1,0.5,0.5,0.0
68,CHASE_BOTH,DNg100,R,1,0.0,0.0,0.0
68,CHASE_BOTH,MDN,L,2,0.0,0.0,0.0
68,CHASE_BOTH,MDN,R,2,0.0,0.25,0.25
68,CHASE_BOTH,DNp01,L,1,0.0,0.5,0.5
68,CHASE_BOTH,DNp01,R,1,0.0,0.0,0.0
