trial,controller,mean_abs_error_deg,rmse_deg,within_5_pct,within_10_pct,lost_target_pct,mean_abs_turn_rate_deg_s,wall_time_s
1,passive,14.092591619230257,15.8265204394313,10.2,32.0,0.0,0.0,0.0005570830035139807
2,passive,17.568140749193162,19.936419610555777,9.2,18.8,0.0,0.0,0.0005169170035514981
3,passive,15.201303742282283,17.1364127185403,9.6,26.0,0.0,0.0,0.0005032089975429699
4,passive,16.291478967338165,19.4349497305934,19.2,39.0,0.0,0.0,0.0005059169998276047
5,passive,18.525916470549006,19.742140356370573,6.2,13.0,0.0,0.0,0.0004932920055580325
6,passive,23.324465474573717,25.3877746159469,7.3999999999999995,15.0,0.0,0.0,0.0007334580004680902
7,passive,16.134762474415734,19.25032221707462,25.4,37.0,0.0,0.0,0.0005072919957456179
8,passive,11.297693360686734,13.293816763294492,27.200000000000003,43.2,0.0,0.0,0.0005395000043790787
9,passive,15.265922916395331,17.69025623137211,13.600000000000001,27.200000000000003,0.0,0.0,0.0004961250015185215
10,passive,12.15730317822428,14.030274135913249,29.599999999999998,40.400000000000006,0.0,0.0,0.0005032919943914749
11,passive,19.195777180097057,21.920749161164384,10.2,21.6,0.0,0.0,0.0004976249983883463
12,passive,11.152984317679438,13.70206335394365,32.0,43.2,0.0,0.0,0.0005107500037411228
1,direct_sign,2.3467541723289242,4.708133491160585,94.8,95.8,0.0,11.44,0.0005117920009070076
2,direct_sign,1.6286378231608354,1.9210052622350389,98.4,99.6,0.0,12.64,0.0005127500044181943
3,direct_sign,1.504010578708748,1.7123331479342623,99.0,99.8,0.0,10.4,0.0005148339987499639
4,direct_sign,1.5172014305470416,1.6206177739732042,99.4,100.0,0.0,13.92,0.0005226249995757826
5,direct_sign,2.420292476039551,5.1376301915620735,93.8,94.8,0.0,8.32,0.0005028340019634925
6,direct_sign,2.164291724849951,3.599386976644186,94.39999999999999,96.0,0.0,16.24,0.0005051250045653433
7,direct_sign,2.049169696346913,3.6529641637620016,94.8,96.2,0.0,9.28,0.0004979579971404746
8,direct_sign,1.480748925979893,1.8198267200622156,98.2,99.6,0.0,10.32,0.000528125005075708
9,direct_sign,1.776255286208584,2.6231812263368077,95.0,97.8,0.0,10.56,0.0005156249972060323
10,direct_sign,1.4881597188607538,1.5496365824495093,100.0,100.0,0.0,6.24,0.0005158330022823066
11,direct_sign,1.582083507668753,1.857675377707583,98.4,99.8,0.0,12.24,0.0005195839985390194
12,direct_sign,1.9568660955791919,3.7878158387198857,96.39999999999999,97.2,0.0,10.0,0.0005173340032342821
1,oracle_p,4.24201938949558,5.97611658074442,70.8,90.0,0.0,11.163208919725212,0.0005835419942741282
2,oracle_p,4.865456932795658,6.094356440171528,57.8,89.2,0.0,12.803834033672794,0.0005625830017379485
3,oracle_p,3.909416248851927,4.724302533563799,63.6,99.8,0.0,10.287937496978742,0.0005872920010006055
4,oracle_p,5.076738324605797,5.725127383940496,44.2,100.0,0.0,13.359837696331049,0.0005769580020569265
5,oracle_p,3.3082792372104124,5.144102179222305,80.2,95.8,0.0,8.705997992658984,0.0005627499995171092
6,oracle_p,6.199290228019658,7.185833671567198,40.400000000000006,85.0,0.0,16.31392165268332,0.0005626249985652976
7,oracle_p,3.4387936091863534,4.706662648312491,79.80000000000001,96.2,0.0,9.049456866279876,0.0005665830030920915
8,oracle_p,3.8221489082282374,4.823571966787595,71.6,94.0,0.0,10.058286600600626,0.0005524580046767369
9,oracle_p,3.900047325650386,4.848396179185108,67.80000000000001,95.19999999999999,0.0,10.263282435922072,0.0005632090033032
10,oracle_p,2.6285652921375924,3.3831837485641167,83.39999999999999,100.0,0.0,6.9172770845726115,0.0005991250000079162
11,oracle_p,4.384484669829769,5.253933688584074,63.0,99.6,0.0,11.538117552183603,0.0005682499977410771
12,oracle_p,3.7556462285574264,4.962077198564786,72.8,97.39999999999999,0.0,9.883279548835333,0.0005911670014029369
1,malecns,6.195734642293569,8.991658920684971,62.4,79.0,0.0,29.758968253968256,3.122165708002285
2,malecns,7.2862201540619385,11.004901671975528,58.8,77.60000000000001,0.0,29.938968253968255,2.0334151669958374
3,malecns,3.1798152902738175,4.007463466301105,77.4,98.8,0.0,30.658968253968254,1.9716015000012703
4,malecns,3.2323669769047214,3.9874323276360237,78.4,99.0,0.0,31.518968253968254,2.019707125000423
5,malecns,3.9448809117967487,6.434833086493006,77.0,94.6,0.0,30.798968253968255,2.010279875001288
6,malecns,4.168225805921038,5.45391621298733,66.4,95.0,0.0,34.99896825396826,1.9956794999961858
7,malecns,4.5435880946073235,5.904223793655711,65.8,91.0,0.0,34.55896825396825,2.03486545800115
8,malecns,3.9349585893851136,5.148950595731272,66.60000000000001,92.4,0.0,32.91896825396825,1.9877304170004209
9,malecns,5.019215143817635,6.9096098892238835,63.4,82.0,0.0,26.138968253968255,2.012097165999876
10,malecns,3.2217463433557088,4.195765190054998,76.4,97.2,0.0,25.738968253968256,2.026388833000965
11,malecns,4.718071469925873,6.036446400116884,59.8,88.0,0.0,29.178968253968254,1.9986961659960798
12,malecns,4.985869247755705,7.338277073922206,68.0,86.0,0.0,31.278968253968255,2.0385714169970015
1,reversed_cns,61.45973910262999,62.1404092641998,0.0,0.0,64.0,22.378968253968253,2.023665542001254
2,reversed_cns,116.31433872152348,129.8508800318582,0.0,0.0,88.0,19.218968253968253,2.0190761659978307
3,reversed_cns,69.13471571673276,75.26623603292224,0.0,0.2,64.4,19.698968253968253,2.043958667003608
4,reversed_cns,62.003175772056835,65.58503317483051,0.0,1.2,51.2,21.138968253968255,2.0056725419999566
5,reversed_cns,60.64697372846883,61.09667294089231,0.0,0.0,56.8,21.638968253968255,2.055182790994877
6,reversed_cns,98.90756878352039,107.46245083347831,0.0,0.0,91.8,16.098968253968255,1.9726224160040147
7,reversed_cns,96.28889975250375,99.30377491300699,0.0,0.0,92.60000000000001,17.098968253968255,1.9877049170027021
8,reversed_cns,106.3605174765255,113.17119002100942,0.0,0.0,89.0,17.098968253968255,2.030974500004959
9,reversed_cns,79.01010439968987,80.91654295128433,0.0,0.0,93.60000000000001,13.618968253968255,1.980572915999801
10,reversed_cns,60.41176904186308,62.59122925478432,0.2,1.6,66.60000000000001,17.138968253968255,2.020599499999662
11,reversed_cns,90.41850377660998,92.71375696325943,0.0,0.0,92.2,15.218968253968255,1.9834685419991729
12,reversed_cns,100.39157039860896,107.41618899447053,0.0,0.0,87.4,17.898968253968256,1.9927695419974043
