amount,DNp01_mean_delta,DNp01_sd,DNp02_mean_delta,DNp02_sd,DNp04_mean_delta,DNp04_sd,DNp11_mean_delta,DNp11_sd
0.05,4.7,0.4472135954999579,4.05,0.32596012026013244,8.95,0.4107919181288746,2.25,0.3535533905932738
0.1,9.05,0.37080992435478316,7.75,0.30618621784789724,16.2,0.6937218462755804,4.55,0.2091650066335189
0.2,14.0,0.5,12.3,0.2091650066335189,24.4,0.4183300132670378,7.35,0.2850438562747845
0.3,17.6,0.22360679774997896,16.0,0.3535533905932738,28.2,0.8909264840602731,9.3,0.37080992435478316
0.4,24.2,0.27386127875258304,22.4,0.8023403267940606,24.7,0.570087712549569,12.6,0.3791437722025775
0.5,24.35,0.4873397172404482,22.1,0.8023403267940606,28.85,2.649292358347791,12.55,0.27386127875258304
0.6,24.75,0.0,21.8,0.37080992435478316,41.75,3.450543435460565,12.75,0.25
0.8,42.8,1.2170661444638085,30.85,0.7623975340988454,49.0,0.30618621784789724,24.3,0.32596012026013244
1.0,44.7,0.7158910531638176,31.15,0.3791437722025775,49.0,0.30618621784789724,24.7,0.2091650066335189
