seed,condition,start_distance,min_distance,final_distance,mean_last10,pct_below_150,pct_below_100,reverse_pct,max_loom_input,max_DNp01,max_DNp02,max_DNp04
64,full,312.99428639495767,193.2364414275453,203.6819386114868,214.1445251265816,0.0,0.0,0.75,0.11725831669048929,10.0,9.5,21.5
65,full,312.99428639495767,193.10832794296445,196.6424493979034,214.65887164647984,0.0,0.0,1.0999999999999999,0.12907019771465328,12.5,12.25,24.75
66,full,312.99428639495767,210.5975110086154,227.9017950266099,233.6097861555683,0.0,0.0,0.35000000000000003,0.08475026907163183,10.0,10.0,19.75
67,full,312.99428639495767,188.42280827309062,200.30879212995833,210.95856758965135,0.0,0.0,0.7000000000000001,0.11704496992046387,12.5,12.25,19.5
68,full,312.99428639495767,210.6368863021449,225.97170750066212,235.37823211757456,0.0,0.0,0.5499999999999999,0.10395602434356022,10.0,9.5,19.5
64,chase_only,312.99428639495767,64.35749197751356,91.2203067698912,92.85012163745691,46.550000000000004,31.4,0.0,0.7624906683583063,2.5,7.0,9.0
65,chase_only,312.99428639495767,39.02954171735868,67.112573309433,69.52677797628746,50.6,45.6,0.0,1.0,5.0,7.25,9.75
66,chase_only,312.99428639495767,88.03378634683266,97.65643687512768,111.90182234350914,45.0,18.6,0.0,0.6227879494503966,2.5,5.0,9.75
67,chase_only,312.99428639495767,47.85574322521956,82.29285305332327,77.08111414341197,46.650000000000006,41.65,0.0,1.0,5.0,7.25,9.5
68,chase_only,312.99428639495767,93.98554515349835,106.27528742931139,124.98635890451526,39.95,8.5,0.0,0.45384993045348093,2.5,7.0,9.5
64,escape_output_ablated,312.99428639495767,42.719497192937396,74.11273620075893,74.68501643776465,47.4,40.1,0.0,1.0,50.0,37.0,49.0
65,escape_output_ablated,312.99428639495767,28.241230678178365,65.59689343045791,59.37144368889081,54.6,44.9,0.0,1.0,50.0,39.75,49.75
66,escape_output_ablated,312.99428639495767,61.56900540180193,90.51780232732412,99.4874228928693,45.550000000000004,27.450000000000003,0.0,0.8193908010928084,40.0,30.0,49.75
67,escape_output_ablated,312.99428639495767,33.08071336314465,76.36725936359188,64.80666252903853,47.05,42.35,0.0,1.0,50.0,37.25,49.5
68,escape_output_ablated,312.99428639495767,84.32702405346663,96.17695931405832,111.43884587592977,44.35,18.3,0.0,0.5620046137359921,25.0,22.0,47.0
