seed,mode,sim_time,shots,hits,kills,accuracy,shots_per_kill,survivors,blue_survivors,red_survivors,decisive,eligible_fire_steps,mean_learned_score
164,auto,10.179999999999872,45,21,6,0.4666666666666667,7.5,2,0,2,1,169,nan
164,learned,10.199999999999871,36,22,7,0.6111111111111112,5.142857142857143,1,0,1,1,674,0.5121678656321077
164,random,7.4799999999999285,38,19,5,0.5,7.6,3,3,0,1,141,nan
165,auto,8.559999999999906,42,22,6,0.5238095238095238,7.0,2,2,0,1,241,nan
165,learned,4.219999999999998,28,19,5,0.6785714285714286,5.6,3,0,3,1,192,0.6807368452959816
165,random,6.199999999999956,38,21,5,0.5526315789473685,7.6,3,0,3,1,127,nan
166,auto,11.719999999999839,53,22,7,0.41509433962264153,7.571428571428571,1,1,0,1,273,nan
166,learned,11.499999999999844,45,21,6,0.4666666666666667,7.5,2,0,2,1,503,0.6313804259037895
166,random,8.619999999999905,46,20,6,0.43478260869565216,7.666666666666667,2,0,2,1,136,nan
167,auto,16.079999999999746,54,22,6,0.4074074074074074,9.0,2,2,0,1,478,nan
167,learned,20.09999999999966,65,22,7,0.3384615384615385,9.285714285714286,1,1,0,1,934,0.5934020362843536
167,random,9.499999999999886,49,18,4,0.3673469387755102,12.25,4,4,0,1,122,nan
168,auto,8.559999999999906,42,22,6,0.5238095238095238,7.0,2,0,2,1,208,nan
168,learned,9.139999999999894,44,22,6,0.5,7.333333333333333,2,2,0,1,380,0.6593813156497595
168,random,5.119999999999979,32,19,5,0.59375,6.4,3,0,3,1,110,nan
169,auto,9.399999999999888,55,20,5,0.36363636363636365,11.0,3,0,3,1,218,nan
169,learned,10.979999999999855,47,21,5,0.44680851063829785,9.4,3,3,0,1,733,0.5621542912408296
169,random,9.899999999999878,52,23,7,0.4423076923076923,7.428571428571429,1,1,0,1,188,nan
170,auto,8.899999999999899,53,18,5,0.33962264150943394,10.6,3,0,3,1,220,nan
170,learned,13.5799999999998,58,21,5,0.3620689655172414,11.6,3,0,3,1,592,0.6121542014072707
170,random,10.439999999999866,47,22,7,0.46808510638297873,6.714285714285714,1,1,0,1,198,nan
171,auto,8.8399999999999,50,21,6,0.42,8.333333333333334,2,2,0,1,234,nan
171,learned,10.639999999999862,46,21,6,0.45652173913043476,7.666666666666667,2,0,2,1,531,0.6227988848110139
171,random,13.339999999999804,59,21,6,0.3559322033898305,9.833333333333334,2,2,0,1,214,nan
172,auto,9.839999999999879,44,19,5,0.4318181818181818,8.8,3,0,3,1,289,nan
172,learned,13.03999999999981,41,22,7,0.5365853658536586,5.857142857142857,1,0,1,1,1029,0.4689105834897253
172,random,8.699999999999903,50,20,5,0.4,10.0,3,0,3,1,222,nan
173,auto,7.819999999999921,42,20,5,0.47619047619047616,8.4,3,3,0,1,174,nan
173,learned,7.85999999999992,39,19,4,0.48717948717948717,9.75,4,4,0,1,501,0.4161307499453624
173,random,45.000000000001435,35,22,6,0.6285714285714286,5.833333333333333,2,1,1,0,129,nan
